Incidencia,Virulencia,P-hosp,Letalidad,Acumulado hosp,sDist,N decesos infeccion,N decesos hosp,Acumulado defunciones,atpi,Escenario
0.34836894,0.185269662,0.078787126,0.03152789,5706,1983117756,711,381,1092,13159185,NvProp Muy Alto
0.34663562,0.187709823,0.080165764,0.032754342,5726,1982894501,704,418,1122,13495430,NvProp Muy Alto
0.348191919,0.189405723,0.080455094,0.03269259,5735,1984822233,719,395,1114,13296615,NvProp Muy Alto
0.343911249,0.189732671,0.079869956,0.033859711,5675,1981265324,741,404,1145,13706927,NvProp Muy Alto
0.347044102,0.188329758,0.079884169,0.034059946,5738,1981616136,759,416,1175,14013842,NvProp Muy Alto
0.347895923,0.18705558,0.078718814,0.033463938,5692,1978662886,753,400,1153,13994864,NvProp Muy Alto
0.349344828,0.187800446,0.079342157,0.033855083,5659,1979507034,748,407,1155,13769866,NvProp Muy Alto
0.344864363,0.184588222,0.079279652,0.031182367,5745,1986741155,737,358,1095,13101556,NvProp Muy Alto
0.347350162,0.190480417,0.080685323,0.033457579,5703,1985218711,736,395,1131,13335020,NvProp Muy Alto
0.347443922,0.186951066,0.079823764,0.031630241,5707,1984936202,700,384,1084,12884934,NvProp Muy Alto
0.345015243,0.187561384,0.079912827,0.032844185,5757,1982071074,736,401,1137,13579295,NvProp Muy Alto
0.343692144,0.188320867,0.079731984,0.033335297,5688,1979480288,707,425,1132,13609744,NvProp Muy Alto
0.346116328,0.187358392,0.079785306,0.033056411,5723,1982791193,727,411,1138,13359549,NvProp Muy Alto
0.348902892,0.187189831,0.079965582,0.031749717,5762,1982781712,688,406,1094,13376935,NvProp Muy Alto
0.348437962,0.189745977,0.079614093,0.03375331,5760,1976779700,761,399,1160,14158506,NvProp Muy Alto
0.345843471,0.187111163,0.07942628,0.032486207,5665,1982862193,711,396,1107,13046899,NvProp Muy Alto
0.345473783,0.18881676,0.079792658,0.034552965,5634,1978985903,765,406,1171,13863314,NvProp Muy Alto
0.348244929,0.19029423,0.080251241,0.033802651,5724,1984190731,750,400,1150,13565361,NvProp Muy Alto
0.343462081,0.186474753,0.07957243,0.033099269,5665,1985816287,735,401,1136,13249415,NvProp Muy Alto
0.345692154,0.185953688,0.078727157,0.03383911,5579,1980670499,757,396,1153,13533803,NvProp Muy Alto
0.346398155,0.189065715,0.080491311,0.032917826,5544,1826252668,705,383,1088,44503359,NvProp Alto
0.350754376,0.186111613,0.078815254,0.033953404,5479,1819637576,704,424,1128,44980913,NvProp Alto
0.343221361,0.18869936,0.079520982,0.034115139,5465,1823910880,730,390,1120,44087520,NvProp Alto
0.346754456,0.187581998,0.079914804,0.032646834,5478,1824963833,670,400,1070,44694149,NvProp Alto
0.348934637,0.182328738,0.075983679,0.033786828,5326,1821058345,745,380,1125,44104819,NvProp Alto
0.343900106,0.188196025,0.079115629,0.034198149,5432,1827119210,770,357,1127,44418683,NvProp Alto
0.346992908,0.188252361,0.079245779,0.03191555,5430,1828858240,669,365,1034,44186054,NvProp Alto
0.351329138,0.188261418,0.079842428,0.031987037,5594,1828514594,680,386,1066,43888144,NvProp Alto
0.348961437,0.188556209,0.079242575,0.033431301,5411,1823615046,748,344,1092,45028641,NvProp Alto
0.347173081,0.186242799,0.079003026,0.032282907,5379,1825109356,667,381,1048,43775039,NvProp Alto
0.347887395,0.186482382,0.078365406,0.033657351,5404,1822311854,735,373,1108,44592136,NvProp Alto
0.348822571,0.186828854,0.079148037,0.032852029,5470,1823138039,689,394,1083,44748776,NvProp Alto
0.348809687,0.182854175,0.07740104,0.030857597,5344,1822045127,641,369,1010,44269788,NvProp Alto
0.347313973,0.186043711,0.078414489,0.033204889,5464,1828648132,716,387,1103,43425551,NvProp Alto
0.348929712,0.186433979,0.078388385,0.033322185,5399,1818208330,733,363,1096,45219114,NvProp Alto
0.349708916,0.188646474,0.079889647,0.032878298,5502,1823337732,689,390,1079,44515898,NvProp Alto
0.344340776,0.186128454,0.078661765,0.032793472,5349,1824858043,673,388,1061,44179324,NvProp Alto
0.347407932,0.186616343,0.079180573,0.032949916,5504,1824893254,726,374,1100,43918487,NvProp Alto
0.346597722,0.190020422,0.080256682,0.032950285,5528,1828236564,706,375,1081,43930704,NvProp Alto
0.348083342,0.186606307,0.077851637,0.033250078,5282,1824649163,695,370,1065,43876351,NvProp Alto
0.349394074,0.188234231,0.07900619,0.033164648,5514,1828198453,735,366,1101,43815392,NvProp Alto
0.350142899,0.18426501,0.078019677,0.03252618,5440,1828117019,701,383,1084,43624607,NvProp Alto
0.344229312,0.183662077,0.077267952,0.032378117,5222,1822272968,700,344,1044,44112785,NvProp Alto
0.346154236,0.18693335,0.078520829,0.033815241,5387,1820500188,716,388,1104,44653819,NvProp Alto
0.348084521,0.18667926,0.07907851,0.031869839,5427,1821498062,700,346,1046,44845721,NvProp Alto
0.348707201,0.187507551,0.079523693,0.032771536,5523,1826576667,685,400,1085,43811579,NvProp Alto
0.346327851,0.188638282,0.079910843,0.033560487,5557,1824935800,699,414,1113,44086000,NvProp Alto
0.347102057,0.184279101,0.077750255,0.032588369,5336,1820565231,675,388,1063,44467479,NvProp Alto
0.347979124,0.18810098,0.079254719,0.032143838,5483,1828819940,679,374,1053,43951704,NvProp Alto
0.345801415,0.186980907,0.078563868,0.0329768,5418,1824917089,683,393,1076,44298825,NvProp Alto
